city,hdi,avg_sch_dur,gender_empwr,life_exp,pov_pop_perc
Kota Ambon,80.81,11.91,74.38,70.35,4.57
Kota Tual,67.74,10.26,58.20,65.21,22.68
Halmahera Barat,65.34,8.12,66.22,66.13,8.59
Halmahera Tengah,65.55,8.79,52.20,63.65,14.12
Kepulauan Sula,63.64,8.73,49.87,63.18,8.98
Halmahera Selatan,64.11,7.92,47.30,65.75,5.03
Halmahera Utara,67.75,8.38,66.30,69.47,4.55
Halmahera Timur,66.74,8.06,50.74,68.64,15.39
Pulau Morotai,62.38,7.10,55.77,66.99,7.27
Pulau Taliabu,60.62,7.46,56.73,61.95,7.53
Kota Ternate,80.03,11.58,74.90,70.85,3.14
Kota Tidore Kepulauan,70.83,9.64,67.52,69.22,6.10
Fakfak,67.87,8.64,59.64,68.41,23.25
Kaimana,64.59,8.28,80.13,64.64,16.11
Teluk Wondama,59.82,6.87,53.75,59.93,32.42
Teluk Bintuni,64.00,7.95,56.52,60.60,30.57
Manokwari,71.67,8.16,71.75,68.56,21.06
Sorong Selatan,61.93,7.26,63.74,66.15,18.41
Sorong,65.29,8.02,59.25,66.02,28.61
Raja Ampat,63.66,7.80,52.88,64.70,17.16
Tambrauw,52.90,5.07,36.61,59.96,33.66
Maybrat,59.15,6.67,44.00,65.17,32.20
Manokwari Selatan,59.72,6.57,64.74,67.48,29.94
Pegunungan Arfak,56.15,5.08,31.57,67.18,34.83
Kota Sorong,77.98,11.05,69.55,70.46,15.45
Merauke,69.98,8.56,57.35,66.93,10.35
Jayawijaya,57.79,5.30,60.33,59.39,38.33
Jayapura,71.84,9.79,69.70,66.93,13.13
Nabire,68.53,9.70,65.90,67.97,24.81
Kepulauan Yapen,67.76,9.19,70.32,69.06,27.13
Biak Numfor,72.57,10.22,70.56,68.20,25.50
Paniai,56.58,4.38,51.13,66.27,37.16
Puncak Jaya,48.33,3.61,47.90,64.98,35.71
Mimika,74.13,9.91,43.43,72.27,14.54
Boven Digoel,61.51,8.55,54.07,59.64,19.66
Mappi,58.30,6.30,55.56,64.91,25.50
Asmat,50.37,4.82,74.86,57.53,26.60
Yahukimo,49.25,4.02,44.86,65.80,38.82
Pegunungan Bintang,45.21,2.61,59.37,64.34,30.51
Tolikara,49.68,3.63,62.44,65.58,32.90
Sarmi,63.45,8.53,73.09,66.26,14.41
Keerom,66.59,8.00,58.06,66.60,16.83
Waropen,65.34,9.18,47.78,66.24,30.95
Supiori,62.30,8.60,66.33,65.81,38.79
Mamberamo Raya,52.20,5.65,58.23,57.55,29.13
Nduga,30.75,0.97,54.13,55.12,38.24
Lanny Jaya,48.00,3.19,42.51,66.00,39.52
Mamberamo Tengah,47.23,2.90,45.64,63.44,36.93
Yalimo,48.08,2.58,39.08,65.34,34.52
Puncak,42.70,1.96,48.26,65.61,38.24
Dogiyai,55.41,4.92,59.90,65.60,31.12
Intan Jaya,47.51,2.64,43.96,65.51,42.92
Deiyai,50.11,3.00,39.35,65.11,43.65
Kota Jayapura,80.16,11.55,82.75,70.38,11.49
